,Date,User ID,Tweet,label,Clean
21,2023-04-16,2251776169.0,survei smrc dukungan capres untuk ganjar pranowo menguat unggul tipis dari prabowo,Positive,smrc dukungan capres untuk menguat unggul tipis dari
22,2023-04-16,2251776169.0,smrc elektabilitas ganjar pranowo kembali menguat,Positive,smrc elektabilitas kembali menguat
23,2023-04-16,2251776169.0,survei terbaru smrc elektabilitas ganjar rebound ungguli prabowoanies,Positive,terbaru smrc elektabilitas rebound ungguli prabowoanies
24,2023-04-16,2251776169.0,elektabilitas ganjar pranowo kembali menguat ini sebabnya,Positive,elektabilitas kembali menguat ini sebabnya
27,2023-04-16,299768872.0,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive,pemimpin yang dicintai semua kalangan masyarakat
28,2023-04-16,3231255310.0,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive,pemimpin yang dicintai semua kalangan masyarakat
29,2023-04-16,2545359101.0,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive,pemimpin yang dicintai semua kalangan masyarakat
30,2023-04-16,378443346.0,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive,pemimpin yang dicintai semua kalangan masyarakat
31,2023-04-16,2593158444.0,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive,pemimpin yang dicintai semua kalangan masyarakat
32,2023-04-16,299768872.0,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive,terus perhatikan kesejahteraan guru keagamaan
33,2023-04-16,3231255310.0,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive,terus perhatikan kesejahteraan guru keagamaan
34,2023-04-16,2545359101.0,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive,terus perhatikan kesejahteraan guru keagamaan
35,2023-04-16,378443346.0,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive,terus perhatikan kesejahteraan guru keagamaan
36,2023-04-16,2593158444.0,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive,terus perhatikan kesejahteraan guru keagamaan
54,2023-04-15,2904608412.0,fahnoor inismyname di bulan ramadhan ini kami berdoa yuk aminkan yg terbaik buat tokoh ini smoga pak prabowo pak ganjar menjadi calon yg baik sebaik pak anis dan smoga pak anis menjadi presiden yang baik aaaamiiiinnnn,Negative,di bulan ramadhan ini kami berdoa yuk aminkan terbaik buat tokoh ini smoga pak pak menjadi baik sebaik pak dan smoga pak menjadi yang baik aaaamiiiinnnn
56,2023-04-15,2437264219.0,chotimah dukung ganjar presiden palestina,Negative,chotimah dukung palestina
70,2023-04-15,2251776169.0,tren popularitas pak ganjar terus naik,Positive,tren popularitas pak terus naik
71,2023-04-15,2251776169.0,elektabilitas ganjar unggul diatas prabowo dan anies,Positive,elektabilitas unggul diatas dan
72,2023-04-15,2251776169.0,luar biasa pak ganjar mencairkan miliar untuk insentif guru keagamaan,Positive,luar pak mencairkan miliar untuk insentif guru keagamaan
83,2023-04-15,2479829814.0,saya setuju sekali ganjar jadi presiden ganjar hebat amanah pranowo,Positive,saya setuju sekali jadi hebat amanah
86,2023-04-15,14934218.0,pada kajian ilmiah prof saiful mujani mayoritas muslim jawa para santri kaum abangan priayi dalam pemilihan presiden sebanyak persen memilih ganjar pranowo sebagai presiden cc,Positive,pada kajian ilmiah prof saiful mujani mayoritas muslim jawa para santri kaum abangan priayi dalam pemilihan sebanyak persen memilih sebagai cc
101,2023-04-15,435004096.0,survei smrc mayoritas santri jawa pilih capres survei smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah ganjar pranowo sebagai calon presiden,Positive,smrc mayoritas santri jawa pilih capres smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah sebagai
107,2023-04-14,176013838.0,mayoritas santri pilih ganjar pranowo capres survey smrc menunjukkan mayoritas warga muslim dan santri memilih gubernur jawa tengah sebagai presiden,Positive,mayoritas santri pilih capres smrc menunjukkan mayoritas warga muslim dan santri memilih gubernur jawa tengah sebagai
108,2023-04-14,128641833.0,berdasarkan study saiful mujani mayoritas santri abangan dan para priyayi memilih menjadi presiden di ganjar selalu terdepan,Positive,berdasarkan study saiful mujani mayoritas santri abangan dan para priyayi memilih menjadi di selalu terdepan
111,2023-04-14,1049616805.0,kajian ilmiah prof saiful mujani menunjukkan sebanyak santri khususnya kaum muslim jawa memilih ganjar pranowo sebagai presiden dalam pemilihan presiden warga muslim jawa yg mengaku santri memilih,Positive,kajian ilmiah prof saiful mujani menunjukkan sebanyak santri khususnya kaum muslim jawa memilih sebagai dalam pemilihan warga muslim jawa mengaku santri memilih
112,2023-04-14,176013838.0,ganjar pranowo teratas bila pemilihan presiden sekarang survei saiful mujani research and consulting smrc menunjukkan mayoritas warga memilih gubernur jawa tengah sebagai calon presiden,Positive,teratas bila pemilihan sekarang saiful mujani research and consulting smrc menunjukkan mayoritas warga memilih gubernur jawa tengah sebagai
115,2023-04-14,2905567770.0,berdasarkan hasil survey smrc yg dilakukan pd april sebanyak mayoritas santri condong memilih ganjar pranowo sbg presiden ri semangat selalu pak,Positive,berdasarkan hasil smrc dilakukan pd april sebanyak mayoritas santri condong memilih sbg semangat selalu pak
116,2023-04-14,2905567770.0,update terbaru gaes walaupun di hajar sampai modyar nama ganjar pranowo tetap yg teratas bila pemilihan presiden sekarang elektabilitas trs naik dan naik dgn hasil survei,Positive,update terbaru gaes walaupun di hajar sampai modyar nama tetap teratas bila pemilihan sekarang elektabilitas trs naik dan naik hasil
121,2023-04-14,1868379883.0,ganjar pranowo teratas menurut survei terbaru smrc survei saiful mujani research and consulting smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah sebagai calon presiden,Positive,teratas menurut terbaru smrc saiful mujani research and consulting smrc menunjukkan mayoritas alias persen warga muslim jawa yang mengaku santri memilih gubernur jawa tengah sebagai
122,2023-04-14,2755262034.0,karepmu mbah yen aku tetep ganjar for presiden,Positive,karepmu mbah yen aku tetep for
124,2023-04-14,185275415.0,dalam pemilihan presiden yg dilakukan studi saiful mujani mayoritas atau persen warga muslim jawa yg mulai dari para santri kaum abangan amp priyayi memilih kader partai demokrasi indonesia perjuangan pdip ganjar pranowo berdasarkan hasil survei smrc pun pak ganjar unggul,Positive,dalam pemilihan dilakukan studi saiful mujani mayoritas atau persen warga muslim jawa mulai dari para santri kaum abangan priyayi memilih kader partai demokrasi perjuangan pdip berdasarkan hasil smrc pun pak unggul
127,2023-04-14,64677484.0,solid mendukung ganjar sampai jadi presiden ri ganjar siji ganjar kabeh,Positive,solid mendukung sampai jadi siji kabeh
128,2023-04-14,551058206.0,tinggal menunggu waktu yang tepat megawati akan menjawab keyakinan kita ganjar dicalonkan menjadi presiden dan pemilu mendatang menjadi kemenangan hattrick bagi pdip,Positive,tinggal menunggu waktu yang tepat megawati akan menjawab keyakinan kita dicalonkan menjadi dan mendatang menjadi kemenangan hattrick bagi pdip
136,2023-04-14,2251776169.0,mayoritas warga muslim jawa memilih ganjar pranowo menjadi capres,Positive,mayoritas warga muslim jawa memilih menjadi capres
137,2023-04-14,2251776169.0,keren pak ganjar memfasilitasi puluhan ribu pemudik,Positive,keren pak memfasilitasi puluhan ribu pemudik
138,2023-04-14,2251776169.0,luar biasa pak ganjar memberikan insentif untuk kesejahteraan guru agama,Positive,luar pak memberikan insentif untuk kesejahteraan guru agama
140,2023-04-14,79130206.0,nelayan di pesisir pantai madasari sepakat dukung ganjar pranowo jadi presiden,Positive,nelayan di pesisir pantai madasari sepakat dukung jadi
141,2023-04-14,79130206.0,nelayan di pesisir pantai madasari sepakat dukung ganjar pranowo jadi presiden,Positive,nelayan di pesisir pantai madasari sepakat dukung jadi
152,2023-04-14,519169110.0,luar biasa pak ganjar pranowo sangat perhatikan wong cilik dg konsisten semoga kelak akan jadi presiden ri ke di tahun aamiin aamiin aamiin ya robbal alamin,Positive,luar pak sangat perhatikan wong cilik konsisten semoga kelak akan jadi ke di tahun aamiin aamiin aamiin robbal alamin
157,2023-04-14,3306055003.0,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari ganjar pranowo dan anies baswedan prabowo subianto,Positive,terbaru mengenai bursa untuk yang dilakukan center isc menemukan bahwa unggul dari dan
167,2023-04-13,506059176.0,sebagai gubernur ganjar bikin bahagia warganya yang merantau bisa mudik bersama gimana kalau beliau jadi presiden yang benar pilih ganjar,Positive,sebagai gubernur bikin bahagia warganya yang merantau bisa mudik bersama gimana kalau beliau jadi yang benar pilih
172,2023-04-13,2251776169.0,mantap sekali pak ganjar berikan bus mudik gratis,Positive,mantap sekali pak berikan bus mudik gratis
173,2023-04-13,2251776169.0,pak ganjar semakin luar biasa sosok yang perhatian terhadap rakyatnya,Positive,pak semakin luar sosok yang perhatian terhadap rakyatnya
174,2023-04-13,2251776169.0,elektabilitas pak ganjar tak terkalahkan di jateng amp jatim,Positive,elektabilitas pak tak terkalahkan di jateng jatim
176,2023-04-13,1223962489.0,wow gato aku selalu mendukung mu teruslah berbuat baik terhadap sesama ganjar presiden,Positive,wow gato aku selalu mendukung mu teruslah berbuat baik terhadap sesama
181,2023-04-13,3244241894.0,cent layak dan pantas menjadi pengganti pak,Negative,cent layak dan pantas menjadi pengganti pak
199,2023-04-13,118646322.0,fx hadi rudyatmo siap melakukan klarifikasi dan melapor ke dewan pers soal pernyataan ganjar pranowo maju sebagai calon presiden capres,Negative,fx hadi rudyatmo siap melakukan klarifikasi dan melapor ke dewan pers soal pernyataan maju sebagai capres
212,2023-04-13,771030588.0,kuatnya reaksi terhadap penolakan ganjar berpotensi memengaruhi langkahlangkah politiknya dalam pemilu presiden mendatang apabila tak ada inisiatif manuver elektabilitas dukungan kepadanya berpotensi beralih,Negative,kuatnya reaksi terhadap penolakan berpotensi memengaruhi langkahlangkah politiknya dalam mendatang apabila tak ada inisiatif manuver elektabilitas dukungan kepadanya berpotensi beralih
213,2023-04-13,2785377055.0,madura hadir dan serukan ganjar pranowo the best presiden indonesia,Positive,madura hadir dan serukan the best
214,2023-04-13,21287066.0,ganjarian jatim yakin pdi perjuangan calonkan ganjar ganjarian jawa timur yakin pdi perjuangan akan mencalonkan ganjar pranowo dalam pemilihan presiden opsi terbaik untuk mencetak via,Positive,ganjarian jatim yakin pdi perjuangan calonkan ganjarian jawa timur yakin pdi perjuangan akan mencalonkan dalam pemilihan opsi terbaik untuk mencetak via
217,2023-04-13,23343960.0,wakil ketua dewan pembina partai solidaritas indonesia psi grace natalie akan mengusulkan gubernur jawa tengah ganjar pranowo untuk dicalonkan sebagai calon presiden lewat koalisi besar untuk menghadapi pemilu lt,Positive,wakil ketua dewan pembina partai solidaritas psi grace natalie akan mengusulkan gubernur jawa tengah untuk dicalonkan sebagai lewat koalisi besar untuk menghadapi lt
242,2023-04-12,255866913.0,kuatnya reaksi terhadap penolakan ganjar berpotensi memengaruhi langkahlangkah politiknya dalam pemilu presiden mendatang apabila tak ada inisiatif manuver elektabilitas dukungan kepadanya berpotensi beralih,Negative,kuatnya reaksi terhadap penolakan berpotensi memengaruhi langkahlangkah politiknya dalam mendatang apabila tak ada inisiatif manuver elektabilitas dukungan kepadanya berpotensi beralih
251,2023-04-12,185275415.0,sinyal dukungan presiden jokowi kpda pak ganjar pranowo smakin kuat nih all bisa kita lihat hubungan ke pemimpin tersebut tetap hangat amp akrab mulai dari taraweh bareng jumatan bareng hingga blusukan bareng mengingat sifat presiden jokowi pak ganjar ttp pling beliau dukung,Positive,sinyal dukungan jokowi kpda pak smakin kuat all bisa kita lihat hubungan ke pemimpin tersebut tetap hangat akrab mulai dari taraweh bareng jumatan bareng hingga blusukan bareng mengingat sifat jokowi pak ttp pling beliau dukung
256,2023-04-12,1092968340.0,sahabat ganjar bersama masyarakat surabaya gelar bazar ramadan amp deklarasikan ganjar pranowo presiden antusias dr masy sangat luar biasa kita jg berbagi kpd sesama selama bulan puasa ini ketua dpc kota surabaya andre cahyo nugroho,Positive,sahabat bersama masyarakat surabaya gelar bazar ramadan deklarasikan antusias masy sangat luar kita berbagi kpd sesama selama bulan puasa ini ketua dpc kota surabaya andre cahyo nugroho
258,2023-04-12,3306055003.0,peneliti senior indonesia survey center isc chairul ansari mengungkapkan empat alasan prabowo subianto lebih unggul dari ganjar pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu mendatang prabowo subianto,Positive,peneliti senior center isc chairul ansari mengungkapkan empat alasan lebih unggul dari dan dalam bursa untuk mendatang
259,2023-04-12,124171593.0,kabar soal direstuinya gubernur jawa tengah ganjar pranowo maju menjadi calon presiden oleh ketua umum pdip megawati soekarnoputri mencuat ke publik kabar ini pertama kali diungkapkan oleh ketua dpc pdip solo fx hadi rudyatmo ist,Negative,kabar soal direstuinya gubernur jawa tengah maju menjadi oleh ketua umum pdip megawati soekarnoputri mencuat ke publik kabar ini pertama kali diungkapkan oleh ketua dpc pdip solo fx hadi rudyatmo ist
261,2023-04-12,55507370.0,sosok mahfud md digadanggadang cocok untuk menjadi calon wakil presiden pasangan anies baswedan ataupun ganjar pranowo dalam kancah pilpres simak berita selengkapnya di politik,Positive,sosok mahfud md digadanggadang cocok untuk menjadi wakil pasangan ataupun dalam kancah simak berita selengkapnya di politik
273,2023-04-12,3306055003.0,jakarta menteri pertahanan menhan prabowo subianto dinilai cocok berpasangan dengan gubernur jawa tengah ganjar pranowo sebagai calon presiden dan wakil presiden caprescawapres di pilpres prabowo subianto,Positive,jakarta menteri pertahanan menhan dinilai cocok berpasangan dengan gubernur jawa tengah sebagai dan wakil caprescawapres di
277,2023-04-12,465280582.0,simak bukan ganjar anies ataupun prabowo ahli tarot ramal presiden itu keturunan jawa dan suka pakai topi poskota,Positive,simak bukan ataupun ahli tarot ramal itu keturunan jawa dan suka pakai topi poskota
278,2023-04-12,726059647.0,jakarta menteri pertahanan menhan prabowo subianto dinilai cocok berpasangan dengan gubernur jawa tengah ganjar pranowo sebagai calon presiden dan wakil presiden caprescawapres di pilpres,Positive,jakarta menteri pertahanan menhan dinilai cocok berpasangan dengan gubernur jawa tengah sebagai dan wakil caprescawapres di
279,2023-04-12,577314112.0,dukung ganjar pranowo the next presiden satrel ganjarst utama news,Positive,dukung the next satrel ganjarst utama news
281,2023-04-12,771030588.0,kuatnya reaksi terhadap penolakan ganjar berpotensi memengaruhi langkahlangkah politiknya dalam pemilu presiden mendatang,Positive,kuatnya reaksi terhadap penolakan berpotensi memengaruhi langkahlangkah politiknya dalam mendatang
283,2023-04-12,154435354.0,sebelumnya pak jokowi dengan pak ganjar setelah itu langsung dengan pak erick gaet menteri bumn erick dampingi presiden jokowi pantau pasar erick thohir harga kebutuhan pokok terkendali,Positive,sebelumnya pak jokowi dengan pak setelah itu langsung dengan pak erick gaet menteri bumn erick dampingi jokowi pantau pasar erick thohir harga kebutuhan pokok terkendali
289,2023-04-11,3319260420.0,warganet laporkan relawan ganjar bagikan kaos dan dompet ganjar presiden di daerah jakarta selatan,Positive,warganet laporkan relawan bagikan kaos dan dompet di daerah jakarta selatan
293,2023-04-11,3244241894.0,chotimah aku tetap teman ganjar pranowo syukur dan terima kasih kpd tuhanselangkah perjuangan telah terkabulmudahan tuhan menolong dan meridoi pak menjadi presiden,Positive,chotimah aku tetap teman syukur dan terima kasih kpd tuhanselangkah perjuangan telah terkabulmudahan tuhan menolong dan meridoi pak menjadi
302,2023-04-11,2385926900.0,presiden jokowi satu mobil bareng ganjar pranowo amp jan etes ke pasar legi kota surakarta kami berharap beliau berdua semakin akrab menjelang pilpres semoga tdk ada lagi batu sandungan kedepan sahabat twips mari kta bersatu rapatkan barisan demi utk masa depan bangsa kita,Positive,jokowi satu mobil bareng jan etes ke pasar legi kota surakarta kami berharap beliau berdua semakin akrab menjelang semoga ada lagi batu sandungan kedepan sahabat twips mari kta bersatu rapatkan barisan demi masa depan bangsa kita
