,Date,User ID,Tweet,label,paslon
0,2023-04-16,,gemira dan semeton muslim bali deklarasi dukung prabowo presiden update berita,Positive,prabowo
1,2023-04-16,,fahnoor inismyname makanya kita dukung presiden,Negative,prabowo
2,2023-04-16,,jokowi kali ini jatahnya bg kerutan di wajah amp rambut putih identik dgn bg aura pak berpindah pada menjawab dengan tulus dan jujur setuju mantap gitu prabowo subianto,Positive,prabowo
3,2023-04-16,4745573953.0,selamat hut kopassus ke semoga semangat patriotisme terus menyala dihati menjadi garda terdepan dalam menjaga kedaulatan amp keamanan negara republik indonesia maju terus kopassus sehat selalu bapak jenderal prabowo subianto presiden ri,Positive,prabowo
4,2023-04-16,,partai gerindra badung menggelar rapat konsolidasi bacaleg,Negative,prabowo
5,2023-04-16,576755999.0,prabowo presiden cebong kampret pensiun,Negative,prabowo
6,2023-04-16,,alhamdulillah presiden indonesia hanya ganjar pranowo yang dapat mempersatukan bangsa ini prabowo subianto dan anis baswedan kedua kandidat ini rekam jejaknya dikelilingi oleh kadrun dan cendana,Negative,prabowo
7,2023-04-16,,sebagian kegiatan kampanye calon presiden dan calon wakil presiden yang difasilitasi negara pada pemilihan presiden pilpres mendatang bisa didanai dari anggaran pendapatan dan belanja negara apbn prabowo subianto,Positive,prabowo
8,2023-04-16,,gorontalo netizen mendoakan menteri pertahanan prabowo subianto menjadi presiden ri pada pilpres prabowo subianto,Positive,prabowo
9,2023-04-16,,presiden dah tp aq tetap prabowo,Positive,prabowo
10,2023-04-16,,presiden ri bapak tulis komentar akun regar prabowo subianto,Positive,prabowo
11,2023-04-16,,lagilagi berbagai komentar datang dari netizen yang mendoakan prabowo menjadi presiden selanjutnya prabowo subianto,Positive,prabowo
12,2023-04-16,465280582.0,komunitas pedagang tabanan bali deklarasi dukung prabowo jadi presiden jurnas,Positive,prabowo
13,2023-04-16,198400006.0,dari tetap bersama pk prabowo semoga pk prabowo menjadi presiden ri periode,Positive,prabowo
14,2023-04-16,465280582.0,gemira dan semeton muslim bali deklarasi dukung prabowo presiden,Positive,prabowo
15,2023-04-16,191951600.0,istana presiden sudah menunggu jendral siap perintah jenderal,Positive,prabowo
16,2023-04-16,,sebagian kegiatan kampanye calon presiden dan calon wakil presiden yang difasilitasi negara pada pemilihan presiden pilpres mendatang bisa didanai dari anggaran pendapatan dan belanja negara apbn prabowo subianto,Positive,prabowo
17,2023-04-16,,gorontalo netizen mendoakan menteri pertahanan prabowo subianto menjadi presiden ri pada pilpres prabowo subianto,Positive,prabowo
18,2023-04-16,,sehat selalu bapak prabowo subianto presiden ri,Positive,prabowo
19,2023-04-16,171458202.0,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,prabowo
20,2023-04-16,634227637.0,anies prabowo,Negative,prabowo
21,2023-04-16,,inismyname fahnoor dasco,Negative,prabowo
22,2023-04-16,252415154.0,sngt tergantung presiden yg akan terpilih di kl saya berfikir secara intelektual bukan ikutan hanya presiden yg punya wibawa yg bs membantu kondisi ekonomi indonesia bukan presiden model jokowi tapi presiden bukan saya ikutan yg lain ini sdh dr dl jaman ada sby,Negative,prabowo
23,2023-04-16,465280582.0,mulyadi minta ketua dprd kabupaten bogor jadikan prabowo subianto presiden di pemilu bogor rumah utama gerindra rbg,Positive,prabowo
24,2023-04-16,,koordinasi bersama dpc gerindra kabsragen dengan dpd gerindra jateng tentang bacaleg bakal calon legislatif tahun nantinya salam indonesia raya gerindra menang prabowo presiden,Positive,prabowo
25,2023-04-16,,inismyname he he yang perlu itu memenangkan hati rakyat meskipun tidak harus jadi presiden ente aham,Negative,prabowo
26,2023-04-16,,prabowo subianto sang pelanggar ham berat tak pantas jadi presiden di indonesia,Negative,prabowo
27,2023-04-16,,saya yakin lebih dari separuh dps tersebut akan memilih pak sebagai presiden nkri,Positive,prabowo
28,2023-04-16,313056524.0,mari kita berdoa bersama untuk kesehatan pak agar bisa mengikuti kontestasi pilpres sampai akhirnya bisa menghadiri acara pelantikan atau sebagai presiden ri ke aamiin,Positive,prabowo
