,Date,User ID,Tweet,label
0,2023-04-16,,ganjar makin banyak dukungan kali kini dukungan datang dari kota batu malang jawa timur mereka mendeklarasi diri sebagai pendukung ganjar presiden ri tahun tdk hanya datang dari kab malang tapi juga dari blitar dan lainnya,Positive
1,2023-04-16,,ojoo lali yooo yang cerdas pilih ganjar pranowo,Positive
2,2023-04-16,,orang cerdas dukung den baguse ganjar pranowo,Positive
3,2023-04-16,,kita percaya ganjar pranowo adalah anugerah allah swt bagi bangsa indonesia setelah jokowi namanya anugerah insya allah tidak ada satu kekuatan pun yang mempu merintangi dan menghalangi ganjar presiden di,Positive
4,2023-04-16,,rakyat cerdas dukung den baguse ganjar pranowo,Positive
5,2023-04-16,,alhamdulillah presiden indonesia hanya ganjar pranowo yang dapat mempersatukan bangsa ini prabowo subianto dan anis baswedan kedua kandidat ini rekam jejaknya dikelilingi oleh kadrun dan cendana,Positive
6,2023-04-16,,safari ramadhan dan doa bersama untuk bapak ganjar pranowo presiden indonesia pada kegiatan tersebut kami berkolaborasi dengan komunitas forum pemerhati anak bangsa tentunya di safari ramadhan ini kami sekaligus merangkaikan pasar murah rakyat yakni masyarakat wakka,Positive
7,2023-04-16,,mak ganjar sumatera utara mengucapkan selamat memperingati hut provinsi sumatra utara ke tahun,Positive
8,2023-04-16,,adil bersikap itu hebat dan amanah ganjar jg sama mudik bareng dg tulisan presiden ri,Positive
9,2023-04-16,,beauty class yang di adakan srikandi ganjar dpw sulawesi selatan bersama milenial yang di adakan di kabupaten sengkang,Positive
10,2023-04-16,,hasil survei smrc yang dirilis barubaru ini menunjukkan bahwa dukungan untuk ganjar pranowo sebagai calon presiden pada pemilihan presiden semakin menguat,Positive
11,2023-04-16,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Positive
12,2023-04-16,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Positive
13,2023-04-16,,pranowo,Positive
14,2023-04-16,,pranowo,Positive
15,2023-04-16,,pranowo,Positive
16,2023-04-16,,ganjar for presiden,Positive
17,2023-04-16,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur bima bu tejo bandung papua,Positive
18,2023-04-16,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur bima bu tejo bandung papua,Positive
19,2023-04-16,,ogi insallah pak ganjar menjadi presiden ri,Positive
