,User ID,Count,Unnamed: 0,Date,Tweet Count,Tweet Location,Tweet,label,city
0,306615832.0,76,163,2023-04-13,7501,,prabowo puan vs anies khofifah siapa jadi presiden ri,Negative,
1,306615832.0,76,853,2023-04-04,7501,,prabowo airlangga vs anies khofifah siapa jadi presiden ri,Negative,
2,306615832.0,76,1539,2023-03-23,7501,,bersama nu anies presiden ri,Negative,
3,306615832.0,76,1540,2023-03-23,7501,,bersama nu anies presiden ri,Negative,
4,306615832.0,76,1625,2023-03-22,7501,,indonesia jaya nu jaya anies presiden ri,Negative,
5,306615832.0,76,1668,2023-03-21,7501,,anies baswedan pemimpin mengayomi semua golongan presiden ri,Negative,
6,306615832.0,76,1792,2023-03-20,7501,,anies pemimpin merakyat sangat dekat dengan rakyat presiden ri,Negative,
7,306615832.0,76,1892,2023-03-19,7501,,anies baswedan keturunan asli wong suroboyo merah putih darahnya presiden ri,Negative,
8,306615832.0,76,2469,2023-03-12,7501,,mari seluruh indonesia bersatu dukung anies lawan oligarki selamatkan indonesia jangan biarkan orang baik berjuang sendiri anies presiden ri,Negative,
9,306615832.0,76,2560,2023-03-11,7501,,dekat dengan rakyat dekat dengan ulama anies presiden ri,Negative,
10,306615832.0,76,2583,2023-03-10,7501,,mari kita kebalikan kewarasan melalui anies baswedan presiden ri,Negative,
11,306615832.0,76,3013,2023-03-05,7501,,anies pemimpin merakyat presiden ri,Negative,
12,306615832.0,76,3422,2023-03-01,7501,,masya alloh semua berjuang untuk indonesia anies presiden ri,Negative,
13,306615832.0,76,4107,2023-02-23,7501,,anies pemimpin merakyat presiden ri,Negative,
14,306615832.0,76,4211,2023-02-22,7501,,anies presiden ri,Negative,
15,306615832.0,76,4240,2023-02-22,7501,,anies berkoalisi dengan rakyat tumbangkan oligarki selamatkan indonesia anies presiden ri,Negative,
16,306615832.0,76,4368,2023-02-20,7501,,mari bersatu lawan oligarki anies presiden ri,Negative,
17,306615832.0,76,4433,2023-02-19,7501,,maaf pancasila adalah harga mati anies presiden ri,Negative,
18,306615832.0,76,4572,2023-02-18,7501,,anies presiden ri,Negative,
